feature,iv,ks
f306,0.04486427858556979,0.024168683486390674
f146,0.042943295877739845,0.021748499817657363
f279,0.042943295877739845,0.021748499817657363
f86,0.042943295877739845,0.021748499817657363
f153,0.042943295877739845,0.021748499817657363
f201,0.0403258910387392,0.19064748201438853
f205,0.03819353089553894,0.08994463415442755
f83,0.03741182101100784,0.02837914000596753
f338,0.03649450495396143,0.01944435235221964
f116,0.03561909906178537,0.052895932102244414
f27,0.03466793642165661,0.05175214666976102
f34,0.03466793642165661,0.05175214666976102
f178,0.030323643432276497,0.017140204886781807
f328,0.029243412776566075,0.031412657892119555
f316,0.027368556487218584,0.027036435367834732
f139,0.027299639469180723,0.030915359877996207
f263,0.026501101847810432,0.01697443888207406
f90,0.026501101847810432,0.01697443888207406
f298,0.026501101847810432,0.01697443888207406
f195,0.026501101847810432,0.01697443888207406
f260,0.02620994238591092,0.03444617577827136
f117,0.025733719243622007,0.029108510426681722
f302,0.025450162400138625,0.024782017703809278
f246,0.02428687119763119,0.06584225706992008
f317,0.02369725992969006,0.04210456519576966
f229,0.023463656614163487,0.0665716274906342
f247,0.022660914161290836,0.019560388555515118
f24,0.0222823658690003,0.012084341743195282
f287,0.0222823658690003,0.012084341743195282
f58,0.0222823658690003,0.012084341743195282
f46,0.0222823658690003,0.012084341743195282
f72,0.022265023456361145,0.03535788880416402
f273,0.021667341501794002,0.022477870238371445
f161,0.021667341501794002,0.022477870238371445
f133,0.021667341501794002,0.022477870238371445
f258,0.021504459631431792,0.027815535589961304
f78,0.0198936535173182,0.031860226104830414
f56,0.0198936535173182,0.031860226104830414
f169,0.01870140053560395,0.01584723005006139
f319,0.01849621888761275,0.04444186586214893
f251,0.01839708138482872,0.01337731657991581
f54,0.01839708138482872,0.01337731657991581
f136,0.01839708138482872,0.01337731657991581
f76,0.01839708138482872,0.01337731657991581
f106,0.01839708138482872,0.01337731657991581
f296,0.018096092119277304,0.020173722772933722
f281,0.018096092119277304,0.020173722772933722
f343,0.01776534859021572,0.030467791665285238
f66,0.01776534859021572,0.030467791665285238
f232,0.017357915818927278,0.03157842389682719
f261,0.01630299929119827,0.015963266253356756
f35,0.01630299929119827,0.015963266253356756
f28,0.01630299929119827,0.015963266253356756
f321,0.01617064102225889,0.04735934754500548
f177,0.01615136371069204,0.016858402678778583
f297,0.01613553489464921,0.018549215926797702
f305,0.015940527162705085,0.0612173855385737
f64,0.015909911714935266,0.05803467824818487
f18,0.01536931595341192,0.03129662168882408
f210,0.01452345405705465,0.013543082584623556
f108,0.01452345405705465,0.013543082584623556
f0,0.013177077985115249,0.00848721944103703
f121,0.013177077985115249,0.00848721944103703
f31,0.013177077985115249,0.00848721944103703
f79,0.012907492079612903,0.02191426582236511
f179,0.01204154892190666,0.017538043298080397
f84,0.011232011915681985,0.009780194277757559
f236,0.011189897303811841,0.014952093624639451
f187,0.011043821240062297,0.027716075987136546
f330,0.010801877668073527,0.017587773099492776
f73,0.010676974041484337,0.021632463614361996
f320,0.009543061129424255,0.030136259655869746
f95,0.009444961047575607,0.012250107747903027
f242,0.009377485011696626,0.03656798063853062
f299,0.008813363967653707,0.046812319729469865
f125,0.008404696550063966,0.018101647714086844
f176,0.008404696550063966,0.018101647714086844
f148,0.007780785230313722,0.016808672877366315
f228,0.007607101667438357,0.02468255810098474
f318,0.00698716601436516,0.03840798329078676
f250,0.006939648117770237,0.011354971322481089
f10,0.006939648117770237,0.011354971322481089
f329,0.006874973067737468,0.03313662434108011
f339,0.006207295110902314,0.01579750024864901
f269,0.005933257570876837,0.07553956834532372
f22,0.0059314764824861385,0.01292974836720484
f173,0.005753764318477671,0.021234625203063406
f348,0.005647369252083601,0.07373271889400923
f244,0.005334486463628413,0.02350561946755958
f334,0.005299632170370445,0.006183071975599308
f109,0.004419420380500909,0.026953552365480915
f207,0.0044072592036821035,0.010675330703179386
f301,0.004334211108460318,0.06474820143884896
f227,0.00415073472520166,0.007641812817027471
f149,0.00415073472520166,0.007641812817027471
f212,0.0041150945698788625,0.009050823857043366
